ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,exclude_borrow_gt_cap_and_neg_cagr,exclude_no_shares,exclude_borrow_spike,include_for_algo
AAPU,AAPL,2.0,0.0239381165742087,2x,0.047836000000000004,30000,False,True,True,False,False,False,False,True
AMUU,AMD,2.0,0.0509792800636172,2x,0.009974000000000004,45000,False,True,True,False,False,False,False,True
AMZU,AMZN,2.0,0.0393047404419382,2x,0.077638,50000,False,True,True,False,False,False,False,True
AVL,AVGO,2.0,-0.0242579499875311,2x,0.167174,50000,False,False,False,True,True,False,False,False
BITX,IBIT,2.0,0.0729968856353815,2x,0.07590000000000001,500000,False,True,True,False,False,False,False,True
BOEU,BA,2.0,-0.0122567603423263,2x,0.127784,5000,False,False,False,True,True,False,False,False
BRKU,BRK-B,2.0,0.0297158562611077,2x,0.043366,1000,False,True,True,False,False,False,False,True
BULU,BULL,2.0,0.0513537231687322,2x,0.31617,10000,False,True,False,True,False,False,False,True
CSCL,CSCO,2.0,0.0450367538398204,2x,0.025227999999999997,7000,False,True,True,False,False,False,False,True
ELIL,LLY,2.0,0.0331162721432438,2x,0.048229999999999995,15000,False,True,True,False,False,False,False,True
ETHU,ETHA,2.0,0.105383802383399,2x,0.022948,700000,False,True,True,False,False,False,False,True
FRDU,F,2.0,0.0342456415578906,2x,,0,False,True,False,True,False,True,False,False
GGLL,GOOGL,2.0,0.0592816536042732,2x,0.035128,550000,False,True,True,False,False,False,False,True
GMEU,GME,2.0,-0.0175652655077385,2x,0.44541600000000003,15000,False,False,False,True,True,False,False,False
LMTL,LMT,2.0,0.0423589083661597,2x,0.032124,900,False,True,True,False,False,True,False,False
METU,META,2.0,0.0579000821180641,2x,0.0021560000000000017,850000,False,True,True,False,False,False,False,True
MUU,MU,2.0,0.0296966339403075,2x,0.05687999999999999,300000,False,True,True,False,False,False,False,True
MSFU,MSFT,2.0,0.0621812777769439,2x,0.048332,200000,False,True,True,False,False,False,False,True
MSTX,MSTR,2.0,0.2762061574091434,2x,,0,False,True,False,True,False,True,False,False
NVDU,NVDA,2.0,0.1001507456639418,2x,0.075444,2000,False,True,True,False,False,False,False,True
NFXL,NFLX,2.0,0.0459868683069439,2x,0.020074,2000,False,True,True,False,False,False,False,True
PLTU,PLTR,2.0,0.0472392671495676,2x,0.029911999999999998,55000,False,True,True,False,False,False,False,True
PALU,PANW,2.0,0.0568054257849837,2x,0.0,10000,False,True,True,False,False,False,False,True
QCMU,QCOM,2.0,0.0319027702499334,2x,0.045156,20000,False,True,True,False,False,False,False,True
SHPU,SHOP,2.0,-0.0139561832613179,2x,0.141068,25000,False,False,False,True,True,False,False,False
TSMX,TSM,2.0,-0.2224784528349133,2x,0.627,450000,False,False,False,True,True,False,False,False
TSLL,TSLA,2.0,-0.010089780226139,2x,0.079236,8800000,False,False,True,False,False,False,False,True
XOMX,XOM,2.0,0.0163413032538699,2x,0.08845599999999999,200,False,True,True,False,False,True,False,False
XXRP,XRP,2.0,0.322156660562134,2x,0.012778,100000,False,True,True,False,False,False,False,True
AALG,AAL,2.0,-0.0194891332971213,2x,0.169644,5000,False,False,False,True,True,False,False,False
ABNG,ABNB,2.0,-0.0252933128092138,2x,0.1507,600,False,False,False,True,True,True,False,False
ADBG,ADBE,2.0,-0.1048547573334515,2x,0.359082,200000,False,False,False,True,True,False,False,False
ARMG,ARM,2.0,-0.1204786000708575,2x,0.37989399999999995,50000,False,False,False,True,True,False,False,False
ASMG,ASML,2.0,0.0497500398935557,2x,0.038566,3000,False,True,True,False,False,False,False,True
BAIG,BBAI,2.0,0.0075350533005942,2x,0.28998399999999996,40000,False,True,False,True,False,False,False,True
BEG,BE,2.0,0.1445522621861292,2x,,0,False,True,False,True,False,True,False,False
BLSG,BLSH,2.0,-0.6235433709978356,2x,2.050134,500,False,False,False,True,True,True,False,False
BMNG,BMNR,2.0,-0.0019994842782988,2x,0.256758,250000,False,False,False,True,True,False,False,False
CIFG,CIFR,2.0,-0.0191149794049723,2x,0.0,44,False,False,True,False,False,True,False,False
CMGG,CMG,2.0,0.0048505853457334,2x,0.068234,1000,False,True,True,False,False,False,False,True
COIG,COIN,2.0,0.0193392216175078,2x,0.129228,15000,False,True,False,True,False,False,False,True
COTG,COST,2.0,-0.0488011930199318,2x,0.22815200000000002,45000,False,False,False,True,True,False,False,False
CRCG,CRCL,2.0,-0.0300276346754811,2x,0.26675000000000004,700000,False,False,False,True,True,False,False,False
CRMG,CRM,2.0,0.0585678544031988,2x,0.02345,90000,False,True,True,False,False,False,False,True
CRWG,CRWV,2.0,0.006876291879363,2x,0.12905,1000000,False,True,False,True,False,False,False,True
DUOG,DUOL,2.0,0.1085439442105968,2x,,0,False,True,False,True,False,True,False,False
FIGG,FIG,2.0,-0.0918699137932618,2x,0.376858,25000,False,False,False,True,True,False,False,False
FUTG,FUTU,2.0,-0.0172946811895431,2x,0.174396,8000,False,False,False,True,True,False,False,False
GEMG,GEMI,2.0,0.095642228968795,2x,,0,False,True,False,True,False,True,False,False
GEVG,GEV,2.0,0.1478949264899982,2x,,0,False,True,False,True,False,True,False,False
GLGG,GLXY,2.0,-0.1498801768422518,2x,0.531508,10000,False,False,False,True,True,False,False,False
GRAG,GRAB,2.0,-0.5006813193067131,2x,1.141188,300,False,False,False,True,True,True,False,False
HOOG,HOOD,2.0,-0.0608423961295158,2x,0.28019400000000005,25000,False,False,False,True,True,False,False,False
IREG,IREN,2.0,0.0296881689865826,2x,,0,False,True,False,True,False,True,False,False
LACG,LAC,2.0,-0.22593870902094,2x,0.60654,300,False,False,False,True,True,True,False,False
LULG,LULU,2.0,-0.2606359415723193,2x,0.759606,1000,False,False,False,True,True,False,False,False
MPG,MP,2.0,0.0093511808086086,2x,0.14977000000000001,20000,False,True,False,True,False,False,False,True
NBIG,NBIS,2.0,-0.0598743727012283,2x,0.265596,100000,False,False,False,True,True,False,False,False
NEMG,NEM,2.0,-0.0523635755373014,2x,0.16278399999999998,2000,False,False,False,True,True,False,False,False
NETG,NET,2.0,0.0340145015305817,2x,0.15014,6000,False,True,False,True,False,False,False,True
NUG,NU,2.0,-0.207312070377292,2x,0.537694,100,False,False,False,True,True,True,False,False
OKTG,OKTA,2.0,0.0600467138160458,2x,,0,False,True,False,True,False,True,False,False
OPEG,OPEN,2.0,0.1308490100744435,2x,,0,False,True,False,True,False,True,False,False
OSCG,OSCR,2.0,0.0256502546373884,2x,0.168524,4000,False,True,False,True,False,False,False,True
PYPG,PYPL,2.0,-0.1322263149472262,2x,0.41401600000000005,65000,False,False,False,True,True,False,False,False
RTXG,RTX,2.0,-0.1130001131220018,2x,0.35231599999999996,900,False,False,False,True,True,True,False,False
SATG,SATS,2.0,0.1495250382250761,2x,,0,False,True,False,True,False,True,False,False
SBU,SBUX,2.0,0.0201101380798451,2x,,0,False,True,False,True,False,True,False,False
SPOG,SPOT,2.0,-0.0661398205800558,2x,0.218356,1000,False,False,False,True,True,False,False,False
TERG,TER,2.0,0.0691162660712558,2x,0.0,1000,False,True,True,False,False,False,False,True
UNHG,UNH,2.0,0.0471147928608792,2x,0.045666,15000,False,True,True,False,False,False,False,True
UPSG,UPS,2.0,0.0140867138616065,2x,,0,False,True,False,True,False,True,False,False
XYZG,XYZ,2.0,-0.013485360948157,2x,0.171446,20000,False,False,False,True,True,False,False,False
COIO,COIN,2.0,-0.4500877432630051,2x,0.28871800000000003,200,False,False,False,True,True,True,False,False
MSOO,MSTR,2.0,-0.8341415000535896,2x,1.219668,100,False,False,False,True,True,True,False,False
NVDO,NVDA,2.0,-0.0775952704026913,2x,0.050567999999999995,600,False,False,True,False,False,True,False,False
PLOO,PLTR,2.0,0.0862074079675303,2x,,0,False,True,False,True,False,True,False,False
TSLO,TSLA,2.0,0.8187045662097925,2x,0.22625800000000001,300,False,True,False,True,False,True,False,False
QYLD,QQQ,1.0,0.0201949862688848,CC,0.08262,300000,False,True,True,False,False,False,False,True
QYLG,QQQ,1.0,0.0361617650368104,CC,0.0,60000,False,True,True,False,False,False,False,True
QQQX,QQQ,1.0,0.0348475494983038,CC,0.0,100000,False,True,True,False,False,False,False,True
JEPQ,QQQ,1.0,0.0413601868347548,CC,0.0,1400000,False,True,True,False,False,False,False,True
XYLD,SPY,1.0,0.0103671254660011,CC,0.048297999999999994,50000,False,True,True,False,False,False,False,True
XYLG,SPY,1.0,0.0072313961349106,CC,0.025308,25000,False,True,True,False,False,False,False,True
JEPI,SPY,1.0,0.0604391605153147,CC,0.0,1300000,False,True,True,False,False,False,False,True
SPYI,SPY,1.0,0.0431317676601064,CC,0.0,1400000,False,True,True,False,False,False,False,True
RYLD,IWM,1.0,-0.1290775688527978,CC,0.18690600000000002,150000,False,False,False,True,True,False,False,False
ABNY,ABNB,1.0,-0.0402691414980883,CC,0.061121999999999996,2000,False,False,True,False,False,False,False,True
AIYY,AI,1.0,0.2122571756942564,CC,0.013458,15000,False,True,True,False,False,False,False,True
AMDY,AMD,1.0,-0.0377528374949328,CC,0.194118,300000,False,False,False,True,True,False,False,False
AMZY,AMZN,1.0,0.0155738185999261,CC,0.0,200000,False,True,True,False,False,False,False,True
APLY,AAPL,1.0,0.036490720304859,CC,0.042684,40000,False,True,True,False,False,False,False,True
BABO,BABA,1.0,0.2344061537852384,CC,0.0,70000,False,True,True,False,False,False,False,True
BRKC,BRK-B,1.0,0.0072363272795274,CC,0.014034,3000,False,True,True,False,False,False,False,True
CONY,COIN,1.0,0.2640920809790332,CC,0.090384,300000,False,True,True,False,False,False,False,True
CRCO,CRCL,1.0,-0.3884079166123574,CC,0.432794,15000,False,False,False,True,True,False,False,False
CVNY,CVNA,1.0,0.0177846783312538,CC,0.147948,49,False,True,False,True,False,True,False,False
DISO,DIS,1.0,-0.1730377789601543,CC,0.23621199999999998,10000,False,False,False,True,True,False,False,False
DRAY,DKNG,1.0,-0.063742982576829,CC,0.045156,1000,False,False,True,False,False,False,False,True
FBY,META,1.0,0.099561843556768,CC,0.0,85000,False,True,True,False,False,False,False,True
GMEY,GME,1.0,0.069407205275783,CC,,0,False,True,False,True,False,True,False,False
GOOY,GOOGL,1.0,0.1341476073310894,CC,0.032408,300000,False,True,True,False,False,False,False,True
HIYY,HIMS,1.0,-0.3538867435290214,CC,0.240006,1000,False,False,False,True,True,False,False,False
HOOY,HOOD,1.0,0.5508352935827916,CC,0.038456,35000,False,True,True,False,False,False,False,True
JPMO,JPM,1.0,0.1346157815907724,CC,0.080412,10000,False,True,True,False,False,False,False,True
MARO,MARA,1.0,0.0731717526442587,CC,0.0011680000000000024,80000,False,True,True,False,False,False,False,True
MRNY,MRNA,1.0,0.019057880372995,CC,0.12223600000000001,5000,False,True,False,True,False,False,False,True
MSFO,MSFT,1.0,-0.0588231303171565,CC,0.069906,40000,False,False,True,False,False,False,False,True
MSTY,MSTR,1.0,0.1466872268128118,CC,0.10777400000000001,200000,False,True,False,True,False,False,False,True
NFLY,NFLX,1.0,0.1002149563018619,CC,0.0,150000,False,True,True,False,False,False,False,True
NVDY,NVDA,1.0,0.1215731523824219,CC,0.112842,1900000,False,True,False,True,False,False,False,True
PLTY,PLTR,1.0,0.4530986514613238,CC,0.09386800000000001,40000,False,True,True,False,False,False,False,True
PYPY,PYPL,1.0,-0.05993956058826,CC,0.046509999999999996,15000,False,False,True,False,False,False,False,True
RBLY,RBLX,1.0,-0.1625004938113836,CC,0.0,2000,False,False,True,False,False,False,False,True
RDYY,RDDT,1.0,0.1042316276030832,CC,0.069974,25000,False,True,True,False,False,False,False,True
SMCY,SMCI,1.0,0.0851995513226633,CC,0.222104,350000,False,True,False,True,False,False,False,True
SNOY,SNOW,1.0,0.0955232379381014,CC,7.400000000000115e-05,100000,False,True,True,False,False,False,False,True
TSLY,TSLA,1.0,0.1308320233558659,CC,0.070576,1200000,False,True,True,False,False,False,False,True
TSMY,TSM,1.0,0.1555580717672759,CC,0.0,100000,False,True,True,False,False,False,False,True
XOMO,XOM,1.0,0.0216063132662331,CC,0.032708,100000,False,True,True,False,False,False,False,True
XYZY,XYZ,1.0,0.0737025106462507,CC,0.017804,45000,False,True,True,False,False,False,False,True
