ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,cagr_positive,borrow_leq_cap,borrow_gt_cap,exclude_borrow_gt_cap_and_neg_cagr,exclude_no_shares,exclude_borrow_spike,include_for_algo,long_usd,short_usd,strategy_tag
AAPU,AAPL,2.0,0.0239381165742087,2x,0.041828,65000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
AMUU,AMD,2.0,0.0509792800636172,2x,0.009974,65000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
AMZU,AMZN,2.0,0.0393047404419382,2x,0.073422,150000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
BITX,IBIT,2.0,0.0729968856353815,2x,0.077038,700000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
BULU,BULL,2.0,0.0513537231687322,2x,0.344124,9000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
CSCL,CSCO,2.0,0.0450367538398204,2x,0.093868,8000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
ELIL,LLY,2.0,0.0331162721432438,2x,0.055144,10000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
ETHU,ETHA,2.0,0.105383802383399,2x,0.01983,1300000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
GGLL,GOOGL,2.0,0.0592816536042732,2x,0.0326,300000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
LMTL,LMT,2.0,0.0423589083661597,2x,0.025266,3000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
MUU,MU,2.0,0.0296966339403075,2x,0.0506519999999999,100000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
MSFU,MSFT,2.0,0.0621812777769439,2x,0.045182,40000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
NVDU,NVDA,2.0,0.1001507456639418,2x,0.091654,250000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
NFXL,NFLX,2.0,0.0459868683069439,2x,0.017976,55000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
PLTU,PLTR,2.0,0.0472392671495676,2x,0.0233419999999999,100000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
PALU,PANW,2.0,0.0568054257849837,2x,0.0,9000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
QCMU,QCOM,2.0,0.0319027702499334,2x,0.0,9000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
TSLL,TSLA,2.0,-0.010089780226139,2x,0.0755619999999999,8200000,False,False,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
XOMX,XOM,2.0,0.0163413032538699,2x,0.067996,1000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
XXRP,XRP,2.0,0.322156660562134,2x,0.0239859999999999,250000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
ASMG,ASML,2.0,0.0497500398935557,2x,0.037788,1000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
BAIG,BBAI,2.0,0.0075350533005942,2x,0.28874,6000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
BEG,BE,2.0,0.1445522621861292,2x,0.221062,6000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
CMGG,CMG,2.0,0.0048505853457334,2x,0.065538,10000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
CRMG,CRM,2.0,0.0585678544031988,2x,0.016838,100000,False,True,True,False,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
CRWG,CRWV,2.0,0.006876291879363,2x,0.118714,800000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
GEMG,GEMI,2.0,0.095642228968795,2x,0.341922,1000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
MPG,MP,2.0,0.0093511808086086,2x,0.158016,3000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
NETG,NET,2.0,0.0340145015305817,2x,0.146234,8000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
OSCG,OSCR,2.0,0.0256502546373884,2x,0.183174,4000,False,True,False,True,False,False,False,True,3539.8230088495575,1769.9115044247787,ETF_LS
QYLD,QQQ,1.0,0.0201949862688848,CC,0.039968,200000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
QYLG,QQQ,1.0,0.0361617650368104,CC,0.0,60000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
QQQX,QQQ,1.0,0.0348475494983038,CC,0.0,100000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
JEPQ,QQQ,1.0,0.0413601868347548,CC,0.0,1200000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
XYLD,SPY,1.0,0.0103671254660011,CC,0.03549,150000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
XYLG,SPY,1.0,0.0072313961349106,CC,0.023958,20000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
JEPI,SPY,1.0,0.0604391605153147,CC,0.0,550000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
SPYI,SPY,1.0,0.0431317676601064,CC,0.0,2100000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
ABNY,ABNB,1.0,-0.0402691414980883,CC,0.069948,2000,False,False,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
AIYY,AI,1.0,0.2122571756942564,CC,0.026212,6000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
AMZY,AMZN,1.0,0.0155738185999261,CC,0.0,100000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
APLY,AAPL,1.0,0.036490720304859,CC,0.058688,10000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
BABO,BABA,1.0,0.2344061537852384,CC,0.0,50000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
BRKC,BRK-B,1.0,0.0072363272795274,CC,0.01702,1000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
CONY,COIN,1.0,0.2640920809790332,CC,0.102004,100000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
CVNY,CVNA,1.0,0.0177846783312538,CC,0.168642,5000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
FBY,META,1.0,0.099561843556768,CC,0.0,100000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
GOOY,GOOGL,1.0,0.1341476073310894,CC,0.0393559999999999,25000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
HOOY,HOOD,1.0,0.5508352935827916,CC,0.034556,9000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
MARO,MARA,1.0,0.0731717526442587,CC,0.0001579999999999,15000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
MRNY,MRNA,1.0,0.019057880372995,CC,0.138688,7000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
MSFO,MSFT,1.0,-0.0588231303171565,CC,0.0723839999999999,3000,False,False,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
MSTY,MSTR,1.0,0.1466872268128118,CC,0.12321,150000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
NFLY,NFLX,1.0,0.1002149563018619,CC,0.0,150000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
NVDY,NVDA,1.0,0.1215731523824219,CC,0.106844,850000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
PYPY,PYPL,1.0,-0.05993956058826,CC,0.0467739999999999,10000,False,False,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
RBLY,RBLX,1.0,-0.1625004938113836,CC,0.0,1000,False,False,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
RDYY,RDDT,1.0,0.1042316276030832,CC,0.0599559999999999,8000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
SMCY,SMCI,1.0,0.0851995513226633,CC,0.20606,80000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
SNOY,SNOW,1.0,0.0955232379381014,CC,0.0,5000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
TSLY,TSLA,1.0,0.1308320233558659,CC,0.070822,500000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
TSMY,TSM,1.0,0.1555580717672759,CC,0.0013199999999999,30000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
XOMO,XOM,1.0,0.0216063132662331,CC,0.134462,50000,False,True,False,True,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
XYZY,XYZ,1.0,0.0737025106462507,CC,0.018094,30000,False,True,True,False,False,False,False,True,3539.8230088495575,3539.8230088495575,ETF_LS
