ETF,Underlying,Leverage,cagr_port_hist,LevType,borrow_current,shares_available,borrow_spiking,borrow_leq_cap,borrow_gt_cap,whitelisted,exclude_borrow_gt_cap,exclude_no_shares,exclude_borrow_spike,long_usd,short_usd,strategy_tag
AAPU,AAPL,2.0,0.0272,2x,0.0473,65000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
AMUU,AMD,2.0,0.0523,2x,0.01,60000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
AMZU,AMZN,2.0,0.0411,2x,0.0735,150000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
BITX,IBIT,2.0,0.0664,2x,0.0784,1100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
BRKU,BRK-B,2.0,0.0302,2x,0.0309,35000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
CSCL,CSCO,2.0,0.0091,2x,0.0575,8000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
ELIL,LLY,2.0,0.0298,2x,0.0533,20000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
ETHU,ETHA,2.0,0.107,2x,0.0156,1100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
GGLL,GOOGL,2.0,0.0605,2x,0.0338,550000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
LMTL,LMT,2.0,0.0423,2x,0.027,2000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
METU,META,2.0,0.033,2x,0.0115,500000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
MUU,MU,2.0,0.0301,2x,0.0569,150000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
MSFU,MSFT,2.0,0.0636,2x,0.0448,100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
MSTX,MSTR,2.0,0.2739,2x,,0,False,False,True,True,False,True,False,724.64,-362.32,ETF_LS
NVDU,NVDA,2.0,0.0891,2x,0.0807,250000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
NFXL,NFLX,2.0,0.0482,2x,0.0213,100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
PLTU,PLTR,2.0,0.0505,2x,0.0189,100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
PALU,PANW,2.0,0.0567,2x,0.0,9000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
QCMU,QCOM,2.0,0.0565,2x,0.0,8000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
TSLL,TSLA,2.0,-0.0066,2x,0.0473,7800000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
XOMX,XOM,2.0,0.0222,2x,0.0698,100,False,True,False,False,False,True,False,724.64,-362.32,ETF_LS
XXRP,GXRP,2.0,0.1512,2x,0.0227,450000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
MSTU,MSTR,2.0,-0.2443,2x,1.0126,1000000,False,False,True,True,False,False,False,724.64,-362.32,ETF_LS
TSLT,TSLA,2.0,0.0372,2x,0.0807,40000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
BTCL,IBIT,2.0,0.0718,2x,0.041,30000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
ETU,ETHA,2.0,0.0518,2x,0.0293,10000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
GOOX,GOOGL,2.0,0.0359,2x,0.0475,20000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
MSFX,MSFT,2.0,0.04,2x,0.0528,35000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
NFLU,NFLX,2.0,0.0545,2x,0.0095,45000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
DKUP,DKNG,2.0,0.0384,2x,0.0617,2000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
GLXU,GLXY,2.0,0.0141,2x,0.1439,50000,False,False,True,True,False,False,False,724.64,-362.32,ETF_LS
BKNU,BKNG,2.0,0.0587,2x,0.0939,300,False,True,False,False,False,True,False,724.64,-362.32,ETF_LS
APPX,APP,2.0,0.0877,2x,0.062,100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
ASTX,ASTS,2.0,0.0174,2x,0.1148,150000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
BLSX,BLSH,2.0,-0.0356,2x,0.0542,6000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
CEGX,CEG,2.0,0.0289,2x,0.0297,15000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
CWVX,CRWV,2.0,-0.0514,2x,0.0262,950000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
LABX,ALAB,2.0,0.0296,2x,0.0346,200000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
TEMT,TEM,2.0,0.2472,2x,0.0407,9000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
UPSX,UPST,2.0,0.012,2x,0.1184,65000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
ASMG,ASML,2.0,0.049,2x,0.0727,7000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
CMGG,CMG,2.0,0.022,2x,0.0655,3000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
COIG,COIN,2.0,0.0132,2x,0.1559,700,False,False,True,True,False,True,False,724.64,-362.32,ETF_LS
CRMG,CRM,2.0,0.0593,2x,0.016,150000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
IREG,IREN,2.0,-0.0042,2x,0.0665,400,False,True,False,False,False,True,False,724.64,-362.32,ETF_LS
NVDG,NVDA,2.0,0.0279,2x,0.0918,100000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
OPEG,OPEN,2.0,-0.0535,2x,0.0776,4000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
PANG,PANW,2.0,0.0659,2x,0.0022,3000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
UNHG,UNH,2.0,0.0463,2x,0.0553,6000,False,True,False,False,False,False,False,724.64,-362.32,ETF_LS
NVDO,NVDA,2.0,-0.0108,2x,0.0506,800,False,True,False,False,False,True,False,724.64,-362.32,ETF_LS
TSLO,TSLA,2.0,0.7866,2x,0.2263,500,False,False,True,True,False,True,False,724.64,-362.32,ETF_LS
QYLD,QQQ,1.0,0.0648,CC,0.0391,200000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
QYLG,QQQ,1.0,0.0372,CC,0.0,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
QQQX,QQQ,1.0,0.0348,CC,0.0,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
JEPQ,QQQ,1.0,0.0412,CC,0.0,650000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
XYLD,SPY,1.0,0.0204,CC,0.033,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
XYLG,SPY,1.0,0.0096,CC,0.0304,10000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
JEPI,SPY,1.0,0.0614,CC,0.0,200000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
SPYI,SPY,1.0,0.0433,CC,0.0,1500000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
ABNY,ABNB,1.0,-0.0413,CC,0.0578,1000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
AIYY,AI,1.0,0.1943,CC,0.0265,10000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
AMZY,AMZN,1.0,0.0208,CC,0.0,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
APLY,AAPL,1.0,0.0132,CC,0.0695,9000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
BABO,BABA,1.0,0.2374,CC,0.0,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
BRKC,BRK-B,1.0,-0.0122,CC,0.0177,1000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
CONY,COIN,1.0,0.2456,CC,0.0943,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
DRAY,DKNG,1.0,-0.0358,CC,0.0451,800,False,True,False,False,False,True,False,543.48,-543.48,ETF_LS
FBY,META,1.0,0.1027,CC,0.0,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
GOOY,GOOGL,1.0,0.1292,CC,0.0426,80000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
HOOY,HOOD,1.0,0.533,CC,0.0246,30000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MARO,MARA,1.0,0.0694,CC,0.0015,30000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSFO,MSFT,1.0,-0.0601,CC,0.0761,70000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSTY,MSTR,1.0,0.1265,CC,0.1246,20000,False,False,True,True,False,False,False,543.48,-543.48,ETF_LS
NFLY,NFLX,1.0,0.103,CC,0.0,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
NVDY,NVDA,1.0,0.1311,CC,0.0812,1000000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
PYPY,PYPL,1.0,-0.0592,CC,0.0422,9000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
RBLY,RBLX,1.0,-0.1465,CC,0.0028,400,False,True,False,False,False,True,False,543.48,-543.48,ETF_LS
RDYY,RDDT,1.0,0.1127,CC,0.0758,15000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
SNOY,SNOW,1.0,0.0957,CC,0.0,15000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
TSLY,TSLA,1.0,0.1317,CC,0.0628,250000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
TSMY,TSM,1.0,0.1674,CC,0.0046,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
XYZY,XYZ,1.0,0.0757,CC,0.0203,15000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
AMZW,AMZN,1.0,-0.0325,CC,0.0306,60000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
ARMW,ARM,1.0,0.635,CC,0.0939,10000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
COIW,COIN,1.0,-0.0872,CC,0.0968,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
HOOW,HOOD,1.0,-0.1429,CC,0.01,200000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
METW,META,1.0,0.0074,CC,0.0,100000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSFW,MSFT,1.0,0.0744,CC,0.0,40000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
MSTW,MSTR,1.0,0.5979,CC,0.0401,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
NFLW,NFLX,1.0,0.1337,CC,0.0,20000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
PLTW,PLTR,1.0,-0.1274,CC,0.0135,250000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
TSLW,TSLA,1.0,-0.1436,CC,0.0888,150000,False,True,False,False,False,False,False,543.48,-543.48,ETF_LS
